Model Type,Step Length,Neighborhood Size,Metric,n,median,q1,q3,p5,p95,iqr,tukey_outlier_rate
Mixture NCA,100,7,Chi-Square,1500,0.031064954586327048,0.02013709908351295,0.04470572806894778,0.008777178451418871,0.06798403970897195,0.02456862898543483,0.025333333333333333
Mixture NCA,100,7,Categorical MMD,1500,0.5666666030883789,0.448888897895813,0.6999999284744263,0.3265554845333099,0.8801111042499541,0.2511110305786133,0.004666666666666667
Mixture NCA,100,7,Tumor Size Diff,1500,0.2978948652744293,0.1489474326372146,0.49731894582509995,0.0264795441180467,0.8341056108474731,0.34837151318788534,0.015333333333333332
Mixture NCA,100,7,Border Size Diff,1500,0.2702883183956146,0.15766818448901168,0.40292980521917343,0.0400427132844924,0.6106513738632202,0.24526162073016175,0.006666666666666667
Mixture NCA,100,7,Spatial Variance Diff,1500,0.3771470934152603,0.1744681224226951,0.6130619645118713,0.03413823787122963,0.9424204468727108,0.43859384208917623,0.008
Stochastic Mixture NCA,25,1,KL Divergence,1500,14.51256275177002,14.150870800018312,14.800645828247072,13.6967556476593,15.26679630279541,0.6497750282287598,0.006666666666666667
Stochastic Mixture NCA,25,1,Chi-Square,1500,1.544262707233429,1.4865788519382477,1.5911234617233276,1.4166069328784943,1.6709314823150634,0.10454460978507996,0.0033333333333333335
Stochastic Mixture NCA,25,1,Categorical MMD,1500,0.6222221851348877,0.4955555200576782,0.7605555355548859,0.335444438457489,0.967000031471252,0.26500001549720764,0.0033333333333333335
Stochastic Mixture NCA,25,1,Tumor Size Diff,1500,0.9267840385437012,0.7381172776222229,1.132828027009964,0.49963590055704116,1.4403216719627376,0.3947107493877411,0.0033333333333333335
Stochastic Mixture NCA,25,1,Border Size Diff,1500,0.7708222270011902,0.6406834125518799,0.9009610414505004,0.5100440651178361,1.0716430902481076,0.2602776288986205,0.006666666666666667
Stochastic Mixture NCA,25,1,Spatial Variance Diff,1500,0.9219776093959808,0.6837508231401443,1.1350281238555908,0.45995961129665375,1.516913348436355,0.45127730071544647,0.01
Stochastic Mixture NCA,25,2,KL Divergence,1500,0.14975965768098826,0.10272068157792087,0.2174489870667457,0.05758114419877528,1.5732250928878766,0.11472830548882483,0.056666666666666664
Stochastic Mixture NCA,25,2,Chi-Square,1500,0.1018025130033493,0.07752645388245576,0.12874013558030123,0.049083006568253,0.1709904186427593,0.05121368169784547,0.006666666666666667
Stochastic Mixture NCA,25,2,Categorical MMD,1500,0.6066666841506958,0.4844443798065185,0.7422221899032593,0.3509999454021454,0.9311110973358154,0.2577778100967408,0.0033333333333333335
Stochastic Mixture NCA,25,2,Tumor Size Diff,1500,0.5990996956825256,0.4071229994297027,0.7985237687826157,0.2184562385082245,1.1220706701278689,0.39140076935291296,0.006666666666666667
Stochastic Mixture NCA,25,2,Border Size Diff,1500,0.1501601785421371,0.0700747519731521,0.2702883183956146,0.0200213566422462,0.4504805207252502,0.20021356642246252,0.011333333333333334
Stochastic Mixture NCA,25,2,Spatial Variance Diff,1500,0.44334524869918823,0.21616216003894806,0.6755737215280533,0.047504721581935826,1.0398542165756226,0.4594115614891052,0.002
Stochastic Mixture NCA,25,3,KL Divergence,1500,0.05796585418283935,0.02514311950653785,0.20427376776933664,0.006590728648006835,4.274042630195616,0.1791306482627988,0.19466666666666665
Stochastic Mixture NCA,25,3,Chi-Square,1500,0.055251894518733,0.024690291844308324,0.15917713195085523,0.006471092719584615,0.3977448284626007,0.1344868401065469,0.07866666666666666
Stochastic Mixture NCA,25,3,Categorical MMD,1500,0.7222222089767456,0.5911110639572144,0.8511110544204712,0.397777795791626,1.062222242355347,0.25999999046325684,0.002
Stochastic Mixture NCA,25,3,Tumor Size Diff,1500,0.5924798250198364,0.4005030989646911,0.8142459988594055,0.1621872037649154,1.175029754638672,0.4137428998947144,0.009333333333333334
Stochastic Mixture NCA,25,3,Border Size Diff,1500,0.4604912102222442,0.3303523957729339,0.6106513738632202,0.1201281398534774,0.8408969640731812,0.2802989780902863,0.009333333333333334
Stochastic Mixture NCA,25,3,Spatial Variance Diff,1500,0.5336422622203827,0.32134971022605896,0.7892149686813354,0.07319819182157516,1.171879082918167,0.4678652584552765,0.010666666666666666
Stochastic Mixture NCA,25,4,KL Divergence,1500,0.07582124322652815,0.04506785236299035,0.11577941477298732,0.01936368364840739,0.21462243795394897,0.07071156240999697,0.043333333333333335
Stochastic Mixture NCA,25,4,Chi-Square,1500,0.0597107466310262,0.039100040681660175,0.08366005495190615,0.018430874589830597,0.12340255938470361,0.04456001427024597,0.011333333333333334
Stochastic Mixture NCA,25,4,Categorical MMD,1500,0.5322222113609314,0.40833327174186707,0.6666666269302368,0.2666666507720947,0.871222150325775,0.25833335518836975,0.005333333333333333
Stochastic Mixture NCA,25,4,Tumor Size Diff,1500,0.4633920192718506,0.2846550941467285,0.6719184517860413,0.09251290820538995,0.9997682929039,0.38726335763931274,0.009333333333333334
Stochastic Mixture NCA,25,4,Border Size Diff,1500,0.3103310167789459,0.1801922023296356,0.4304591715335846,0.0500533916056156,0.6306727528572083,0.250266969203949,0.005333333333333333
Stochastic Mixture NCA,25,4,Spatial Variance Diff,1500,0.5315169990062714,0.31014224141836166,0.7614625096321106,0.10948662497103206,1.105388182401657,0.45132026821374893,0.007333333333333333
Stochastic Mixture NCA,25,5,KL Divergence,1500,0.02787843532860275,0.018784699495881775,0.0386249143630266,0.009954101778566805,0.06048352252691974,0.019840214867144823,0.030666666666666665
Stochastic Mixture NCA,25,5,Chi-Square,1500,0.027583634480833952,0.018646299373358474,0.0380312213674187,0.009999006846919595,0.05927233751863239,0.019384921994060222,0.028666666666666667
Stochastic Mixture NCA,25,5,Categorical MMD,1500,0.5722221732139587,0.4511110782623291,0.6983332931995392,0.3177777528762817,0.8999999761581421,0.24722221493721008,0.006
Stochastic Mixture NCA,25,5,Tumor Size Diff,1500,0.3690586537122726,0.178736925125122,0.5858598947525024,0.0397193171083927,0.897325527667999,0.4071229696273805,0.005333333333333333
Stochastic Mixture NCA,25,5,Border Size Diff,1500,0.2802990078926086,0.1401495039463043,0.4104378223419189,0.0300320349633693,0.6206620335578918,0.2702883183956146,0.005333333333333333
Stochastic Mixture NCA,25,5,Spatial Variance Diff,1500,0.41647154092788696,0.20217205956578255,0.6653732508420944,0.043583861365914287,0.9930856138467788,0.4632011912763119,0.005333333333333333
Stochastic Mixture NCA,25,6,KL Divergence,1500,2.2154364585876465,0.5568499118089676,3.0274043679237366,0.2464778237044811,5.145670557022094,2.470554456114769,0.002
Stochastic Mixture NCA,25,6,Chi-Square,1500,0.32143434882164,0.2712122052907943,0.3732110112905502,0.1668412573635578,0.45769697427749617,0.10199880599975586,0.028
Stochastic Mixture NCA,25,6,Categorical MMD,1500,0.713333249092102,0.5955555438995361,0.8355555534362793,0.4287776887416839,1.0512222111225127,0.24000000953674316,0.012
Stochastic Mixture NCA,25,6,Tumor Size Diff,1500,0.6024096012115479,0.38643584400415415,0.8440354466438293,0.1191579475998878,1.1650999784469604,0.4575996026396752,0.006
Stochastic Mixture NCA,25,6,Border Size Diff,1500,0.2202349305152893,0.1001067832112312,0.4304591715335846,0.0200213566422462,0.7608115673065186,0.33035238832235336,0.013333333333333334
