Model Type,Neighborhood Size,Step Length,Evaluation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Stochastic Mixture NCA,4,100,4,0.08725029774631059,0.059693986742446775,0.5499777408440908,0.48668298906025786,0.31016418465723594,0.5439927662707245
Stochastic Mixture NCA,5,25,0,0.030264641953011307,0.029764430522918654,0.5819629299640655,0.40166158456588164,0.28670582824697094,0.4506102009292711
Stochastic Mixture NCA,5,25,1,0.03065607403094565,0.03012580308054258,0.5839777449766795,0.4134670488916648,0.2989522262414296,0.4617943271327143
Stochastic Mixture NCA,5,25,2,0.030929453922435592,0.0303722406411543,0.5821851551532745,0.3985612710363542,0.2825680810337265,0.44635849746797857
Stochastic Mixture NCA,5,25,3,0.030410048784688067,0.029904686747079978,0.5801184829076131,0.40600864369266976,0.2883409054701527,0.45386710088253795
Stochastic Mixture NCA,5,25,4,0.030721457831871957,0.03017739964804297,0.5848370003700256,0.4053907880373299,0.2867725663259625,0.45406865829601883
Stochastic Mixture NCA,5,50,0,0.03028417643780505,0.029788239470993433,0.583274040222168,0.39942185633738214,0.2856713915988803,0.44782121731012015
Stochastic Mixture NCA,5,50,1,0.030655776239000215,0.030118315589303724,0.5873332993189494,0.4103667358743648,0.2970501970748107,0.45837034090344486
Stochastic Mixture NCA,5,50,2,0.03091277730340754,0.03034957247010117,0.584399969180425,0.3982523428850497,0.2815670129160086,0.44464383797021584
Stochastic Mixture NCA,5,50,3,0.030236961537351163,0.02973334892866352,0.5813481132189433,0.4031400266677762,0.28590497389435765,0.4497269583448845
Stochastic Mixture NCA,5,50,4,0.030711780386045533,0.03017912942450489,0.5863703338305155,0.40407784371171146,0.2861385564506053,0.4530873700293402
Stochastic Mixture NCA,5,100,0,0.03028702553982531,0.029791078415388816,0.5832814474900564,0.3994108231947757,0.28557128481566907,0.4478017569648121
Stochastic Mixture NCA,5,100,1,0.030651021452310138,0.030113573574150555,0.5873332993189494,0.4103667358743648,0.2970501970748107,0.45837034090344486
Stochastic Mixture NCA,5,100,2,0.03091277730340754,0.03034957247010117,0.584399969180425,0.3982523428850497,0.2815670129160086,0.44464383797021584
Stochastic Mixture NCA,5,100,3,0.03023911658053592,0.02973480803794999,0.5813629281520843,0.4030958941966916,0.28600508059064544,0.44969294813325783
Stochastic Mixture NCA,5,100,4,0.030711780386045533,0.03017912942450489,0.5863703338305155,0.40407784371171146,0.2861385564506053,0.4530873700293402
Stochastic Mixture NCA,6,25,0,2.122509590908885,0.31867212022344266,0.7183110797405243,0.6375722583988681,0.3143686685090264,0.3989177873695735
Stochastic Mixture NCA,6,25,1,2.2772153224485616,0.3236795779876411,0.723792564868927,0.6137075679438809,0.2804324690252542,0.36664256965586295
Stochastic Mixture NCA,6,25,2,2.111839327911536,0.3205973850687344,0.7207036709785462,0.6319784521342565,0.29621597352127227,0.3735074871568941
Stochastic Mixture NCA,6,25,3,2.307999419073264,0.3252700011680523,0.7215851521492005,0.6151087779435329,0.2844367410118381,0.3652071907359641
Stochastic Mixture NCA,6,25,4,2.1450507741421463,0.3257622705524166,0.7254444126288097,0.613917198056976,0.2856046527996659,0.3874220918895056
Stochastic Mixture NCA,6,50,0,2.0586163142199316,0.32886460519706207,0.7686592324574788,0.5006840456835926,0.25627336629976827,0.33488990789662537
Stochastic Mixture NCA,6,50,1,2.1409001449992258,0.3323224820196628,0.7673925602436066,0.5008605776571979,0.25560598688820996,0.33888127100304694
Stochastic Mixture NCA,6,50,2,2.2703739689290523,0.3399164163569609,0.7632444155216217,0.5253431221656502,0.2646823364372054,0.34177269751206035
Stochastic Mixture NCA,6,50,3,2.1300938641962905,0.3376179543603211,0.7669333036740621,0.5021073222719132,0.24943273513267433,0.32449286277638745
Stochastic Mixture NCA,6,50,4,2.0364867745588224,0.3331716613968213,0.7577258960405986,0.5203451077632295,0.2605445878456036,0.3543422380116923
Stochastic Mixture NCA,6,100,0,2.9704571472108365,0.3660047365600864,0.7833407111962636,0.6574208814138547,0.43910172243913015,0.5643100344669074
Stochastic Mixture NCA,6,100,1,2.736197769070665,0.35466974137971796,0.7775184873739879,0.6456043846858666,0.4333956331262986,0.544366680488068
Stochastic Mixture NCA,6,100,2,3.104229062013328,0.36996193001667654,0.7647184884548187,0.6856877948157489,0.4682661653185884,0.5827274879153508
Stochastic Mixture NCA,6,100,3,2.581913231151799,0.3481402962530652,0.7922740455468495,0.598867990905419,0.40436466654141745,0.5230170873040333
