Model Type,Step Length,Metric,Best NB (by median),Best threshold quantile,Threshold (from best NB),Neighborhood Size,bad_rate,n
Stochastic Mixture NCA,100,Categorical MMD,4,0.95,0.8801111042499541,1,0.08666666666666667,1500
Stochastic Mixture NCA,100,Categorical MMD,4,0.95,0.8801111042499541,2,0.11733333333333333,1500
Stochastic Mixture NCA,100,Categorical MMD,4,0.95,0.8801111042499541,3,0.30133333333333334,1500
Stochastic Mixture NCA,100,Categorical MMD,4,0.95,0.8801111042499541,4,0.05,1500
Stochastic Mixture NCA,100,Categorical MMD,4,0.95,0.8801111042499541,5,0.06,1500
Stochastic Mixture NCA,100,Categorical MMD,4,0.95,0.8801111042499541,6,0.29933333333333334,1500
Stochastic Mixture NCA,100,Categorical MMD,4,0.95,0.8801111042499541,7,0.06733333333333333,1500
Stochastic Mixture NCA,100,Tumor Size Diff,7,0.95,0.6820137828588484,1,0.7966666666666666,1500
Stochastic Mixture NCA,100,Tumor Size Diff,7,0.95,0.6820137828588484,2,0.25933333333333336,1500
Stochastic Mixture NCA,100,Tumor Size Diff,7,0.95,0.6820137828588484,3,0.5813333333333334,1500
Stochastic Mixture NCA,100,Tumor Size Diff,7,0.95,0.6820137828588484,4,0.22333333333333333,1500
Stochastic Mixture NCA,100,Tumor Size Diff,7,0.95,0.6820137828588484,5,0.166,1500
Stochastic Mixture NCA,100,Tumor Size Diff,7,0.95,0.6820137828588484,6,0.4573333333333333,1500
Stochastic Mixture NCA,100,Tumor Size Diff,7,0.95,0.6820137828588484,7,0.05,1500
Stochastic Mixture NCA,100,Border Size Diff,7,0.95,0.500533938407898,1,0.95,1500
Stochastic Mixture NCA,100,Border Size Diff,7,0.95,0.500533938407898,2,0.54,1500
Stochastic Mixture NCA,100,Border Size Diff,7,0.95,0.500533938407898,3,0.3973333333333333,1500
Stochastic Mixture NCA,100,Border Size Diff,7,0.95,0.500533938407898,4,0.14733333333333334,1500
Stochastic Mixture NCA,100,Border Size Diff,7,0.95,0.500533938407898,5,0.12266666666666666,1500
Stochastic Mixture NCA,100,Border Size Diff,7,0.95,0.500533938407898,6,0.3973333333333333,1500
Stochastic Mixture NCA,100,Border Size Diff,7,0.95,0.500533938407898,7,0.048,1500
Stochastic Mixture NCA,100,Spatial Variance Diff,2,0.95,0.7251083880662917,1,0.71,1500
Stochastic Mixture NCA,100,Spatial Variance Diff,2,0.95,0.7251083880662917,2,0.05,1500
Stochastic Mixture NCA,100,Spatial Variance Diff,2,0.95,0.7251083880662917,3,0.37466666666666665,1500
Stochastic Mixture NCA,100,Spatial Variance Diff,2,0.95,0.7251083880662917,4,0.2826666666666667,1500
Stochastic Mixture NCA,100,Spatial Variance Diff,2,0.95,0.7251083880662917,5,0.198,1500
Stochastic Mixture NCA,100,Spatial Variance Diff,2,0.95,0.7251083880662917,6,0.29933333333333334,1500
Stochastic Mixture NCA,100,Spatial Variance Diff,2,0.95,0.7251083880662917,7,0.076,1500
